"title","year","userRating","votes","runtime","mpaaRating","genre","releaseDate","story","director","writer","stars","metacriticScore","awardWins","awardNominations","tagline","country","language","filmingLocations","budget","openingWeekendUS","grossUS","cumulativeWorldwideGross","productionCompany"
"Planet Earth II","2016","9.5","89,748","298 min","TV-G","Documentary","TV Mini-Series (2016)","David Attenborough returns in this breathtaking documentary showcasing life on Planet Earth.","Star:David Attenborough",NA,NA,"","13","21","","UK","English","","","","","","BBC Natural History Unit (NHU), BBC America, Zweites Deutsches Fernsehen (ZDF)"
"Planet Earth","2006","9.4","161,358","538 min","TV-PG","Documentary","TV Mini-Series (2006)","Emmy Award-winning, 11 episodes, five years in the making, the most expensive nature documentary series ever commissioned by the BBC, and the first to be filmed in high definition.","Stars:David Attenborough, Sigourney Weaver, Thomas Anguti Johnston            |See full cast & crew »",NA,NA,"","15","15","Prepare to see it as never before.","UK","English","","","","","","British Broadcasting Corporation (BBC)"
"Band of Brothers","2001","9.4","357,434","594 min","TV-MA","Action,Drama,History","TV Mini-Series (2001)","The story of Easy Company of the U.S. Army 101st Airborne Division, and their mission in World War II Europe, from Operation Overlord, through V-J Day.","Stars:Scott Grimes, Damian Lewis, Ron Livingston            |See full cast & crew »",NA,NA,"","34","25","Ordinary men. Extraordinary times.","USA,UK","English,Dutch,French,German,Lithuanian","Ashdown Forest, East Sussex, England, UK","$125,000,000","","","","DreamWorks, DreamWorks Television, HBO Films"
"Breaking Bad","2008","9.5","1,370,215","49 min","TV-MA","Crime,Drama,Thriller","TV Series (2008–2013)","A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.","Creator:Vince Gilligan","Stars:Bryan Cranston, Aaron Paul, Anna Gunn","Stars:Bryan Cranston, Aaron Paul, Anna Gunn","","153","234","All Hail The King (season 5, part 1)","USA","English,Spanish","906 Park Avenue SW, Albuquerque, New Mexico, USA","","","","","High Bridge Productions, Gran Via Productions, Sony Pictures Television"
"Chernobyl","2019","9.4","478,281","330 min","TV-MA","Drama,History,Thriller","TV Mini-Series (2019)","In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes.","Creator:Craig Mazin","Stars:Jessie Buckley, Jared Harris, Stellan Skarsgård","Stars:Jessie Buckley, Jared Harris, Stellan Skarsgård","","57","57","What is the cost of lies?","USA,UK","English","Vilnius, Lithuania","","","","","Home Box Office (HBO), Sister Pictures, Sky Television"
"The Wire","2002","9.3","270,651","59 min","TV-MA","Crime,Drama,Thriller","TV Series (2002–2008)","The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.","Creator:David Simon","Stars:Dominic West, Lance Reddick, Sonja Sohn","Stars:Dominic West, Lance Reddick, Sonja Sohn","","16","53","Rules change. The game remains the same. (third season)","USA","English,Greek,Mandarin,Spanish","Baltimore, Maryland, USA","","","","","Blown Deadline Productions, Home Box Office (HBO)"
"Blue Planet II","2017","9.3","29,890","364 min","TV-G","Documentary","TV Mini-Series (2017–2018)","David Attenborough returns to the world's oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans face.","Stars:David Attenborough, Peter Drost, Roger Munns            |See full cast & crew »",NA,NA,"","11","12","Take a deep breath","UK","English","","","","","$205,531","BBC Natural History Unit (NHU), BBC Studios, OceanX Media"
"Our Planet","2019","9.3","26,823","403 min","TV-G","Documentary","TV Mini-Series (2019)","Documentary series focusing on the breadth of the diversity of habitats around the world, from the remote Arctic wilderness and mysterious deep oceans to the vast landscapes of Africa and diverse jungles of South America.","Star:David Attenborough",NA,NA,"","4","19","","USA,UK","English","","","","","","Silverback Films"
"Cosmos: A Spacetime Odyssey","2014","9.3","106,421","557 min","TV-PG","Documentary","TV Series (2014)","An exploration of our discovery of the laws of nature and coordinates in space and time.","Stars:Neil deGrasse Tyson, Stoney Emshwiller, Piotr Michael            |See full cast & crew »",NA,NA,"","16","23","","USA","English","Northern California, California, USA","","","","","Cosmos Studios, Fuzzy Door Productions, National Geographic Channel"
"Game of Thrones","2011","9.3","1,688,050","57 min","TV-MA","Action,Adventure,Drama","TV Series (2011–2019)","Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.","Creators:David Benioff, D.B. Weiss","Stars:Emilia Clarke, Peter Dinklage, Kit Harington","Stars:Emilia Clarke, Peter Dinklage, Kit Harington","","375","604","Winter is coming.","USA,UK","English","Iceland","","","","","Home Box Office (HBO), Television 360, Grok! Studio"
"Cosmos","1980","9.3","34,928","60 min","TV-PG","Documentary","TV Series (1980)","Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.","Creators:Ann Druyan, Carl Sagan, Steven Soter","Stars:Carl Sagan, Jaromír Hanzlík, Jonathan Fahn","Stars:Carl Sagan, Jaromír Hanzlík, Jonathan Fahn","","4","3","","USA,UK","English","Alaska, USA","$8,250,000","","","","KCET, Carl Sagan Productions, British Broadcasting Corporation (BBC)"
"Rick and Morty","2013","9.2","346,586","23 min","TV-14","Animation,Adventure,Comedy","TV Series (2013– )","An animated series that follows the exploits of a super scientist and his not-so-bright grandson.","Creators:Dan Harmon, Justin Roiland","Stars:Justin Roiland, Chris Parnell, Spencer Grammer","Stars:Justin Roiland, Chris Parnell, Spencer Grammer","","16","16","Science makes sense, family doesn't.","USA","English","","","","","","Green Portal Productions, Harmonius Claptrap, Justin Roiland's Solo Vanity Card Productions"
"The Last Dance","2020","9.2","55,315","60 min","TV-MA","Documentary,Biography,History","TV Mini-Series (2020)","Charting the rise of the 1990's Chicago Bulls, led by Michael Jordan, one of the most notable dynasties in sports history.","Stars:Phil Jackson, Michael Jordan, David Aldridge            |See full cast & crew »",NA,NA,"","0",NA,"","USA","English","","","","","","ESPN Films, NBA Entertainment, Mandalay Sports Media (MSM)"
"Avatar: The Last Airbender","2005","9.2","223,946","23 min","TV-Y7-FV","Animation,Action,Adventure","TV Series (2005–2008)","In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.","Creators:Michael Dante DiMartino, Bryan Konietzko","Stars:Zach Tyler, Jack De Sena, Dee Bradley Baker","Stars:Zach Tyler, Jack De Sena, Dee Bradley Baker","","9","6","Welcome to the Inferno","USA","English","","","","","","Nickelodeon Animation Studios"
"The Sopranos","1999","9.2","281,738","55 min","TV-MA","Crime,Drama","TV Series (1999–2007)","New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.","Creator:David Chase","Stars:James Gandolfini, Lorraine Bracco, Edie Falco","Stars:James Gandolfini, Lorraine Bracco, Edie Falco","","118","303","Family. Redefined. (season 2)","USA","English,Italian,Russian","Newburgh, New York, USA","","","","","Home Box Office (HBO), Brillstein Entertainment Partners, The Park Entertainment"
"The World at War","1973","9.2","20,975","52 min","TV-PG","Documentary,History,War","TV Series (1973–1976)","A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II.","Stars:Laurence Olivier, Anthony Eden, Averell Harriman            |See full cast & crew »",NA,NA,"","2","3","","UK","English,German,French,Japanese","","","","","","Imperial War Museum, Thames Television"
"Life","2009","9.1","36,884","473 min","TV-G","Documentary","TV Mini-Series (2009)","David Attenborough 's legendary BBC crew explains and shows wildlife all over planet earth in 10 episodes. The first is an overview of the challenges facing life, the others are dedicated ...                    See full summary »","Stars:Oprah Winfrey, David Attenborough, Doug Allan            |See full cast & crew »",NA,NA,"","3","10","Four years, 3000 filming days, ten part blockbuster.","UK,USA,Greece,Italy,Germany","English","Antarctica","","","","","British Broadcasting Corporation (BBC), Discovery Channel, SKAI"
"Hagane no renkinjutsushi","2009","9.1","106,713","24 min","TV-14","Animation,Action,Adventure","TV Series (2009–2012)","Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.","Creator:Hiromu Arakawa","Stars:Kent Williams, Iemasa Kayumi, Vic Mignogna","Stars:Kent Williams, Iemasa Kayumi, Vic Mignogna","","3","4","","Japan","Japanese","","","","","","Bones, Square Enix Company"
"Sherlock","2010","9.1","769,113","88 min","TV-14","Crime,Drama,Mystery","TV Series (2010–2017)","A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.","Creators:Mark Gatiss, Steven Moffat","Stars:Benedict Cumberbatch, Martin Freeman, Una Stubbs","Stars:Benedict Cumberbatch, Martin Freeman, Una Stubbs","","88","173","The world's favourite detective has emerged from the fog...this is Sherlock for a new generation.","UK,USA","English","St. Bartholomew's Hospital, London, England, UK","","","","","Hartswood Films, BBC Wales, Masterpiece Theatre"
"The Vietnam War","2017","9.1","18,372","990 min","TV-MA","Documentary,History,War","TV Mini-Series (2017)","A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.","Stars:Peter Coyote, Huy Duc, James Willbanks            |See full cast & crew »",NA,NA,"","5","10","There is no single truth in war.","","","","","","","","Florentine Films"
"The Twilight Zone","1959","9.0","67,737","51 min","TV-PG","Drama,Fantasy,Horror","TV Series (1959–1964)","Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner.","Creator:Rod Serling","Stars:Rod Serling, Robert McCord, Jay Overholts","Stars:Rod Serling, Robert McCord, Jay Overholts","","9","14","","USA","English","Yuma, Arizona, USA","","","","","Cayuga Productions, CBS Television Network"
"Sahsiyet","2018","9.1","25,444","65 min",NA,"Crime,Drama,Mystery","TV Mini-Series (2018)","A man diagnosed with Alzheimers decides to punish criminals.","Stars:Haluk Bilginer, Cansu Dere, Metin Akdülger            |See full cast & crew »",NA,NA,"","2","9","","Turkey","Turkish","Istanbul, Turkey","","","","","Ay Yapim"
"The Beatles Anthology","1995","9.1","6,874","600 min",NA,"Documentary,Music","TV Mini-Series (1995–1996)","An autobiographical documentary of the greatest of the rock bands.","Stars:Paul McCartney, George Harrison, Ringo Starr            |See full cast & crew »",NA,NA,"","2","4","","UK","English,French","Henley-on-Thames, Oxfordshire, England, UK","","","","","Apple Corps, Capitol Records, Granada Television"
